Area,Year,Population
Abkhazia,1086,
Afghanistan,1086,
Akrotiri and Dhekelia,1086,
Albania,1086,
Algeria,1086,
American Samoa,1086,
Andorra,1086,
Angola,1086,
Anguilla,1086,
Antigua and Barbuda,1086,
Argentina,1086,
Armenia,1086,
Aruba,1086,
Australia,1086,
Austria,1086,
Azerbaijan,1086,
Bahamas,1086,
Bahrain,1086,
Bangladesh,1086,
Barbados,1086,
Belarus,1086,
Belgium,1086,
Belize,1086,
Benin,1086,
Bermuda,1086,
Bhutan,1086,
Bolivia,1086,
Bosnia and Herzegovina,1086,
Botswana,1086,
Brazil,1086,
British Virgin Islands,1086,
Brunei,1086,
Bulgaria,1086,
Burkina Faso,1086,
Burundi,1086,
Cambodia,1086,
Cameroon,1086,
Canada,1086,
Cape Verde,1086,
Cayman Islands,1086,
Central African Rep.,1086,
Chad,1086,
Channel Islands,1086,
Chile,1086,
China,1086,
Christmas Island,1086,
Cocos Island,1086,
Colombia,1086,
Comoros,1086,
Congo - Dem. Rep.,1086,
Congo - Rep.,1086,
Cook Islands,1086,
Costa Rica,1086,
Cote d'Ivoire,1086,
Croatia,1086,
Cuba,1086,
Cyprus,1086,
Czech Rep.,1086,
Czechoslovakia,1086,
Denmark,1086,
Djibouti,1086,
Dominica,1086,
Dominican Rep.,1086,
East Germany,1086,
Ecuador,1086,
Egypt,1086,
El Salvador,1086,
Equatorial Guinea,1086,
Eritrea,1086,
Eritrea and Ethiopia,1086,
Estonia,1086,
Ethiopia,1086,
Faeroe Islands,1086,
Falkland Islands (Malvinas),1086,
Fiji,1086,
Finland,1086,
France,1086,
French Guiana,1086,
French Polynesia,1086,
Gabon,1086,
Gambia,1086,
Georgia,1086,
Germany,1086,
Ghana,1086,
Gibraltar,1086,
Greece,1086,
Greenland,1086,
Grenada,1086,
Guadeloupe,1086,
Guam,1086,
Guatemala,1086,
Guernsey,1086,
Guinea,1086,
Guinea-Bissau,1086,
Guyana,1086,
Haiti,1086,
Holy See,1086,
Honduras,1086,
Hong Kong - China,1086,
Hungary,1086,
Iceland,1086,
India,1086,
Indonesia,1086,
Iran,1086,
Iraq,1086,
Ireland,1086,
Isle of Man,1086,
Israel,1086,
Italy,1086,
Jamaica,1086,
Japan,1086,
Jersey,1086,
Jordan,1086,
Kazakhstan,1086,
Kenya,1086,
Kiribati,1086,
Korea - Dem. Rep.,1086,
Korea - Rep.,1086,
Korea - United,1086,
Kosovo,1086,
Kuwait,1086,
Kyrgyzstan,1086,
Laos,1086,
Latvia,1086,
Lebanon,1086,
Lesotho,1086,
Liberia,1086,
Libya,1086,
Liechtenstein,1086,
Lithuania,1086,
Luxembourg,1086,
Macao - China,1086,
Macedonia - FYR,1086,
Madagascar,1086,
Malawi,1086,
Malaysia,1086,
Maldives,1086,
Mali,1086,
Malta,1086,
Marshall Islands,1086,
Martinique,1086,
Mauritania,1086,
Mauritius,1086,
Mayotte,1086,
Mexico,1086,
Micronesia - Fed. Sts.,1086,
Moldova,1086,
Monaco,1086,
Mongolia,1086,
Montenegro,1086,
Montserrat,1086,
Morocco,1086,
Mozambique,1086,
Myanmar,1086,
Namibia,1086,
Nauru,1086,
Nepal,1086,
Netherlands,1086,
Netherlands Antilles,1086,
New Caledonia,1086,
New Zealand,1086,
Ngorno-Karabakh,1086,
Nicaragua,1086,
Niger,1086,
