YÝL,BOLGE_KODU,BOLGE_ADÝ,TOPLAM_URT,TOPLAM_TK,HÝDROLÝK_URT,RESMÝ_DAÝRE_TK,SANAYÝ_ÝSLETME_TK,TERMAL_URT,TÝCARETHANE_TK,MESKEN_TK,TARIMSAL_SULAMA_TK,SANTÝYE_TK,SOKAK_AYDÝNLATMA_TK,DIGER_TK,KÝSÝBASÝ_TOPLAM_TK,KÝSÝBASÝ_SANAYÝ_TK,KÝSÝBASÝ_MESKEN_TK,LAT,LON
1995,TRA11,Erzurum,31.6,293998,26.2,38995,79031,5.4,18038,91918,2591,2025,18163,43237,,,,39.90861,41.27694
1996,TRA11,Erzurum,31.6,322951,26.2,38841,115229,5.4,23309,115002,3741,2029,18098,6702,,,,39.90861,41.27694
1997,TRA11,Erzurum,31.6,344600,26.2,41056,120889,5.4,24787,125970,3220,3061,20657,4960,,,,39.90861,41.27694
1998,TRA11,Erzurum,31.6,363258,26.2,73610,91034,5.4,32478,134115,2067,3836,22914,3204,,,,39.90861,41.27694
1999,TRA11,Erzurum,33.9,407596,28.5,88614,86736,5.4,36687,141050,2969,4438,44276,2826,,,,39.90861,41.27694
2000,TRA11,Erzurum,52.9,473038,47.5,68536,122821,5.4,38795,157010,4530,5997,68017,7332,,,,39.90861,41.27694
2001,TRA11,Erzurum,52.5,495486,47.1,65785,133341,5.4,41931,173420,4183,7066,65894,3866,,,,39.90861,41.27694
2002,TRA11,Erzurum,52.5,514937,47.1,55409,93838,5.4,41524,162270,1815,,83044,77037,,,,39.90861,41.27694
2003,TRA11,Erzurum,52.5,531131,47.1,62751,95367,5.4,46807,167618,4209,,88931,65448,,,,39.90861,41.27694
2004,TRA11,Erzurum,52.5,548713,47.1,67575,90557,5.4,70046,188847,2338,,65545,63805,,,,39.90861,41.27694
2005,TRA11,Erzurum,52.5,603119,47.1,154292,91972,5.4,65577,210984,2306,,36085,41903,,,,39.90861,41.27694
2006,TRA11,Erzurum,,656535,,169286,88422,,75268,261833,2983,,51387,7355,,,,39.90861,41.27694
2007,TRA11,Erzurum,,716127,,163744,127761,,82747,264623,2985,,59423,14845,912,163,337,39.90861,41.27694
2008,TRA11,Erzurum,,832558,,152896,159943,,114262,321327,4191,,56036,23903,1074,206,415,39.90861,41.27694
2009,TRA11,Erzurum,,838506,,161753,178965,,94000,325126,2613,,54914,21135,1083,231,420,39.90861,41.27694
2010,TRA11,Erzurum,,927531,,130619,226369,,119460,361758,3839,,48363,37122,1206,294,470,39.90861,41.27694
2011,TRA11,Erzurum,,1010556,,161652,256847,,117239,367076,4088,,72857,30797,1294,329,470,39.90861,41.27694
2012,TRA11,Erzurum,,1011718,,157313,206534,,171275,362482,4588,,58823,50703,1300,265,466,39.90861,41.27694
2013,TRA11,Erzurum,,889278,,98977,258998,,137869,308991,4355,,45999,34090,1160,338,403,39.90861,41.27694
2014,TRA11,Erzurum,,998179,,113559,300379,,159925,336191,3255,,44868,40003,1308,394,440,39.90861,41.27694
2015,TRA11,Erzurum,,955077,,89646,292812,,171134,310924,3251,,50338,36970,1253,384,408,39.90861,41.27694
1995,TRA12,Erzincan,22.3,120193,18,8329,18999,4.3,6321,40677,15471,3222,12092,15082,,,,39.73919,39.49015
1996,TRA12,Erzincan,22.3,125759,18,9914,30511,4.3,7663,42982,16809,1075,12731,4074,,,,39.73919,39.49015
1997,TRA12,Erzincan,22.3,139728,18,14678,28707,4.3,9241,47446,19852,1337,13813,4654,,,,39.73919,39.49015
1998,TRA12,Erzincan,22.3,148048,18,14661,33699,4.3,10192,49156,20090,1265,15003,3982,,,,39.73919,39.49015
1999,TRA12,Erzincan,22.2,150554,18,14227,31408,4.2,15537,40684,20270,1018,15573,11837,,,,39.73919,39.49015
2000,TRA12,Erzincan,22.2,154557,18,26760,28999,4.2,10134,44398,22230,1470,17111,3455,,,,39.73919,39.49015
2001,TRA12,Erzincan,32,156040,27.8,20760,27097,4.2,10134,53398,22230,1470,17111,3840,,,,39.73919,39.49015
2002,TRA12,Erzincan,33.1,155672,29,16136,16160,4.1,16297,58681,19175,,17258,11965,,,,39.73919,39.49015
2003,TRA12,Erzincan,33.1,159337,29,17726,16157,4.1,17504,59863,19569,,17624,10894,,,,39.73919,39.49015
2004,TRA12,Erzincan,33,158642,29,17316,15570,4,18734,62507,10437,,13396,20682,,,,39.73919,39.49015
2005,TRA12,Erzincan,47.2,170304,43.2,18450,14008,4,20107,67916,8164,,14230,27429,,,,39.73919,39.49015
2006,TRA12,Erzincan,,184552,,20101,18847,,34360,75500,6669,,15971,13103,,,,39.73919,39.49015
2007,TRA12,Erzincan,,196704,,21655,20284,,40164,79947,7512,,14121,13022,921,95,374,39.73919,39.49015
2008,TRA12,Erzincan,,216673,,22156,17387,,31928,87856,11895,,12443,33008,1029,83,417,39.73919,39.49015
2009,TRA12,Erzincan,,239713,,25141,37514,,31684,89351,9669,,15481,30873,1124,176,419,39.73919,39.49015
2010,TRA12,Erzincan,,265546,,25932,48021,,36600,91492,14684,,14688,34129,1180,213,407,39.73919,39.49015
2011,TRA12,Erzincan,,305322,,29841,84403,,34814,94169,10665,,16510,34919,1418,392,437,39.73919,39.49015
2012,TRA12,Erzincan,,317542,,33909,81756,,40925,95450,12725,,16750,36029,1457,375,438,39.73919,39.49015
2013,TRA12,Erzincan,,310065,,29529,89850,,52770,95911,9765,,18913,13326,1409,408,436,39.73919,39.49015
2014,TRA12,Erzincan,,326029,,38543,80125,,60957,97211,10663,,17909,20621,1458,358,435,39.73919,39.49015
2015,TRA12,Erzincan,,356047,,39050,88287,,77437,103455,5591,,17946,24281,1597,396,464,39.73919,39.49015
1995,TRA13,Bayburt,,24954,,2789,1441,,1239,13379,63,289,5095,659,,,,40.25631,40.22289
1996,TRA13,Bayburt,,26044,,1860,2655,,1579,14379,97,423,4757,294,,,,40.25631,40.22289
1997,TRA13,Bayburt,,27599,,3401,1379,,1590,14516,18,540,5527,628,,,,40.25631,40.22289
