Brand,Ownership Type,Longitude,Latitude
Starbucks,1,1.53,42.51
Starbucks,1,55.47,25.42
Starbucks,1,55.47,25.39
Starbucks,1,54.38,24.48
Starbucks,1,54.54,24.51
Starbucks,1,54.49,24.04
Starbucks,1,54.49,24.04
Starbucks,1,54.61,24.46
Starbucks,1,55.69,24.19
Starbucks,1,54.38,24.48
Starbucks,1,54.34,24.47
Starbucks,1,54.37,24.49
Starbucks,1,55.69,24.19
Starbucks,1,54.7,24.03
Starbucks,1,54.6,24.48
Starbucks,1,55.74,24.21
Starbucks,1,54.34,24.47
Starbucks,1,54.35,24.47
Starbucks,1,54.37,24.47
Starbucks,1,54.38,24.48
Starbucks,1,54.51,24.42
Starbucks,1,54.35,24.46
Starbucks,1,54.66,24.41
Starbucks,1,54.41,24.05
Starbucks,1,54.32,24.47
Starbucks,1,54.57,24.35
Starbucks,1,55.62,24.21
Starbucks,1,54.44,24.54
Starbucks,1,54.34,24.47
Starbucks,1,54.94,24.09
Starbucks,1,54.37,24.05
Starbucks,1,54.6,24.04
Starbucks,1,55.77,24.48
Starbucks,1,54.44,24.43
Starbucks,1,54.61,24.46
Starbucks,1,54.39,24.46
Starbucks,1,54.39,24.43
Starbucks,1,54.66,24.41
Starbucks,1,55.53,23.85
Starbucks,1,54.37,24.47
Starbucks,1,54.37,24.52
Starbucks,1,54.37,24.48
Starbucks,1,54.37,24.47
Starbucks,1,55.4,24.12
Starbucks,1,55.29,25.24
Starbucks,1,55.65,24.19
Starbucks,1,55.73,24.24
Starbucks,1,55.39,25.01
Starbucks,1,55.81,24.16
Starbucks,1,55.69,24.21
Starbucks,1,55.8,24.13
Starbucks,1,54.47,24.41
Starbucks,1,54.63,24.29
Starbucks,1,54.69,24.39
Starbucks,1,55.23,25.05
Starbucks,1,55.23,25.17
Starbucks,1,55.6,24.78
Starbucks,1,55.35,25.25
Starbucks,1,55.31,25.27
Starbucks,1,55.16,25.01
Starbucks,1,55.27,25.19
Starbucks,1,55.28,25.21
Starbucks,1,55.15,25.08
Starbucks,1,55.35,25.25
Starbucks,1,55.2,25.12
Starbucks,1,55.4,25.23
Starbucks,1,55.28,25.19
Starbucks,1,55.12,25.13
Starbucks,1,55.14,25.08
Starbucks,1,55.24,25.17
Starbucks,1,55.13,25.07
Starbucks,1,55.31,25.27
Starbucks,1,55.28,25.19
Starbucks,1,55.32,25.27
Starbucks,1,55.13,25.07
Starbucks,1,55.12,25.13
Starbucks,1,55.23,25.19
Starbucks,1,55.25,25.22
Starbucks,1,55.17,25.01
Starbucks,1,55.31,25.27
Starbucks,1,55.33,25.26
Starbucks,1,55.27,25.02
Starbucks,1,55.24,25.05
Starbucks,1,55.35,25.27
Starbucks,1,55.19,25.11
Starbucks,1,55.19,25.03
Starbucks,1,55.42,25.23
Starbucks,1,55.24,25.02
Starbucks,1,55.46,25.26
Starbucks,1,55.35,25.25
Starbucks,1,55.12,25.04
Starbucks,1,55.28,25.02
Starbucks,1,55.33,25.25
Starbucks,1,55,24.92
Starbucks,1,55.28,25.24
Starbucks,1,55.42,25.13
Starbucks,1,55.19,25.13
Starbucks,1,55.28,25.21
Starbucks,1,55.12,25.05
Starbucks,1,55.41,25.22
Starbucks,1,55.33,25.23
Starbucks,1,55.28,25.02
Starbucks,1,55.28,25.25
Starbucks,1,55.44,25.04
Starbucks,1,55.43,25.23
Starbucks,1,55.33,25.25
Starbucks,1,55.26,25.23
Starbucks,1,55.27,25.23
Starbucks,1,55.13,25.07
Starbucks,1,55.31,25.27
Starbucks,1,55.28,25.22
Starbucks,1,55.09,24.99
Starbucks,1,55.2,25.12
Starbucks,1,55.2,25.12
Starbucks,1,55.31,25.23
Starbucks,1,55.14,25.08
Starbucks,1,55.31,25.27
Starbucks,1,55.14,25.08
Starbucks,1,55.14,25.08
Starbucks,1,55.16,25.11
Starbucks,1,55.35,25.25
Starbucks,1,55.35,25.25
Starbucks,1,55.12,25.04
Starbucks,1,55,24.54
Starbucks,1,55.27,25.02
Starbucks,1,55.3,25.25
Starbucks,1,55.21,25.01
Starbucks,1,55.4,25.13
Starbucks,1,55.38,25.11
Starbucks,1,55.33,25.29
Starbucks,1,55.17,25.05
Starbucks,1,55.16,25.01
Starbucks,1,55.16,25.11
Starbucks,1,56.3,25.13
Starbucks,1,56.33,25.12
Starbucks,1,55.78,25.68
Starbucks,1,55.97,25.79
Starbucks,1,55.92,25.75
Starbucks,1,55.39,25.35
Starbucks,1,55.4,25.35
Starbucks,1,55.38,25.33
Starbucks,1,55.38,25.32
Starbucks,1,55.37,25.03
Starbucks,1,55.48,25.03
Starbucks,1,55.54,25.53
Starbucks,1,-58.37,-34.68
Starbucks,1,-57.87,-34.88
Starbucks,1,-58.44,-34.58
Starbucks,1,-58.7,-34.53
Starbucks,1,-58.51,-34.47
Starbucks,1,-58.5,-34.49
Starbucks,1,-58.4,-34.59
Starbucks,1,-58.38,-34.6
Starbucks,1,-58.53,-34.8
Starbucks,1,-58.49,-34.48
Starbucks,1,-58.52,-34.51
Starbucks,1,-58.65,-34.63
Starbucks,1,-58.92,-34.45
Starbucks,1,-60.22,-33.39
Starbucks,1,-58.86,-34.46
Starbucks,1,-58.26,-34.72
Starbucks,1,-58.55,-34.49
Starbucks,1,-58.56,-34.69
Starbucks,1,-58.66,-34.4
Starbucks,1,-58.73,-34.45
Starbucks,1,-58.47,-34.53
